Country,Year,Quarter,Day,Month Name,Product,Segment,Sales,Avg Sale per Unit,COGS,Discounts,Gross Sales,Manufacturing Price,Month Number,Profit,Profit Margin %,Sale Price,Total COGS,Units Sold,Discount Band,Profit Check,Performance,Profit Class,Profit Bin,Profitable,Revenue Category,Sales Category,Segment Code,Revenue Flag
Canada,2013,Qtr 3,1,September,Amarilla,Channel Partners,29156.16,10.56,8283.0,3975.84,33132.0,260,9,20873.16,71.59,12,8283.0,2761,High,20873.16,Excellent,High,High,Yes,Low,Low,CP,Normal
Canada,2013,Qtr 3,1,September,Carretera,Enterprise,265760.0,110.0,289920.0,36240.0,302000.0,3,9,-24160.0,-9.09,125,289920.0,2416,High,-24160.0,Loss,Low,Low,No,High,High,ENT,Problem
Canada,2013,Qtr 3,1,September,Montana,Small Business,354108.0,276.0,320750.0,30792.0,384900.0,5,9,33358.0,9.42,300,320750.0,1283,Medium,33358.0,Low,High,Very High,Yes,High,High,SMB,Star
Canada,2013,Qtr 3,1,September,Paseo,Government,15620.85,6.65,11745.0,822.15,16443.0,10,9,3875.85,24.81,7,11745.0,2349,Medium,3875.85,Excellent,High,Medium,Yes,Low,Low,GOV,Normal
Canada,2013,Qtr 3,1,September,Paseo,Midmarket,31863.0,12.9,24700.0,5187.0,37050.0,10,9,7163.0,22.48,15,24700.0,2470,High,7163.0,Excellent,High,Medium,Yes,Low,Low,MID,Normal
Canada,2013,Qtr 3,1,September,Velo,Government,50803.2,19.2,26460.0,2116.8,52920.0,120,9,24343.2,47.92,20,26460.0,2646,Low,24343.2,Excellent,High,Very High,Yes,Medium,Medium,GOV,Normal
Canada,2013,Qtr 3,1,September,VTT,Government,191884.0,308.0,161980.0,26166.0,218050.0,250,9,29904.0,15.58,350,161980.0,623,High,29904.0,Good,High,Very High,Yes,High,High,GOV,Star
Canada,2013,Qtr 4,1,October,Amarilla,Government,408310.0,332.5,319280.0,21490.0,429800.0,260,10,89030.0,21.8,350,319280.0,1228,Medium,89030.0,Excellent,High,Very High,Yes,High,High,GOV,Star
Canada,2013,Qtr 4,1,October,Amarilla,Midmarket,22484.7,12.9,17430.0,3660.3,26145.0,260,10,5054.7,22.48,15,17430.0,1743,High,5054.700000000001,Excellent,High,Medium,Yes,Low,Low,MID,Normal
Canada,2013,Qtr 4,1,October,Carretera,Channel Partners,25932.72,11.28,6897.0,1655.28,27588.0,3,10,19035.72,73.4,12,6897.0,2299,Medium,19035.72,Excellent,High,High,Yes,Low,Low,CP,Normal
Canada,2013,Qtr 4,1,October,Carretera,Government,19158.72,6.72,14255.0,798.28,19957.0,3,10,4903.72,25.6,7,14255.0,2851,Low,4903.720000000001,Excellent,High,Medium,Yes,Low,Low,GOV,Normal
Canada,2013,Qtr 4,1,October,Montana,Enterprise,43125.0,125.0,41400.0,0.0,43125.0,5,10,1725.0,4.0,125,41400.0,345,,1725.0,Low,High,Low,Yes,Low,Low,ENT,Normal
Canada,2013,Qtr 4,1,October,Montana,Government,19158.72,6.72,14255.0,798.28,19957.0,5,10,4903.72,25.6,7,14255.0,2851,Low,4903.720000000001,Excellent,High,Medium,Yes,Low,Low,GOV,Normal
